City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,awjilah,29.1081,21.2869,26.53,51,0,4.31,LY,1722730786
83,kurchum,48.5722,83.6542,20.55,61,42,2.77,KZ,1722730787
84,coahuayana de hidalgo,18.7,-103.6583,27.87,80,100,1.64,MX,1722730789
85,hobyo,5.3505,48.5268,24.39,87,82,10.7,SO,1722730790
86,palikir - national government center,6.9248,158.1611,31.47,70,20,2.57,FM,1722730791
87,tura,25.5198,90.2201,23.7,97,99,2.13,IN,1722730792
88,minas de marcona,-15.2119,-75.1103,10.97,87,20,6.66,PE,1722730793
89,avarua,-21.2078,-159.775,24.03,53,100,3.6,CK,1722730794
90,eldorado,-23.7869,-54.2836,26.84,30,63,2.32,BR,1722730796
91,tolanaro,-25.0319,46.9987,17.04,94,20,3.09,MG,1722730797
92,pacific grove,36.6177,-121.9166,26.79,85,0,3.6,US,1722730799
93,selfoss,63.9331,-20.9971,11.45,73,97,9.85,IS,1722730800
94,zharkent,44.1628,80.0,24.32,33,0,2.21,KZ,1722730802
95,villa gesell,-37.2639,-56.973,12.23,64,38,7.12,AR,1722730803
96,olonkinbyen,70.9221,-8.7187,5.24,95,94,3.8,SJ,1722730804
97,itamaraca,-7.7478,-34.8256,25.03,81,10,4.43,BR,1722730805
98,rongelap,11.1635,166.8941,28.38,76,9,2.47,MH,1722730807
99,kavaratti,10.5669,72.642,27.66,80,100,5.92,IN,1722730808
100,wailua homesteads,22.0669,-159.378,27.44,74,40,4.63,US,1722730809
101,kisangani,0.5167,25.2,22.32,96,95,1.08,CD,1722730810
102,nouna,12.7333,-3.8667,25.81,78,99,3.5,BF,1722730811
103,thompson,55.7435,-97.8558,20.94,27,30,4.14,CA,1722730812
104,happy valley-goose bay,53.3168,-60.3315,19.17,77,75,4.63,CA,1722730814
105,kalevala,65.2,31.1667,14.08,91,97,2.31,RU,1722730815
106,itoman,26.1247,127.6694,32.21,76,20,6.17,JP,1722730816
107,longyearbyen,78.2186,15.6401,9.91,100,75,3.6,SJ,1722730817
108,emerald,-23.5333,148.1667,19.08,51,0,4.96,AU,1722730581
109,dok kham tai,19.1624,99.9934,22.6,98,99,0.41,TH,1722730819
110,ghadamis,30.1337,9.5007,34.72,13,2,4.51,LY,1722730821
111,chuzhou,32.3219,118.2978,32.4,72,1,2.43,CN,1722730822
112,mil'kovo,55.6078,37.7956,16.3,87,74,2.34,RU,1722730823
113,oranjemund,-28.55,16.4333,14.43,77,77,6.98,NA,1722730824
114,buarcos,40.166,-8.8768,17.19,91,0,3.63,PT,1722730827
115,vilyuchinsk,52.9306,158.4028,21.15,66,97,0.81,RU,1722730828
116,changleng,28.7,115.8167,32.75,60,6,2.24,CN,1722730829
117,pisco,-13.7,-76.2167,17.03,82,20,4.63,PE,1722730830
118,puerto ayora,-0.7393,-90.3518,19.75,90,93,1.34,EC,1722730831
119,kangding,30.0513,101.9603,17.54,91,100,0.12,CN,1722730597
120,kenai,60.5544,-151.2583,15.64,78,75,6.69,US,1722730834
121,port saint john's,-31.6229,29.5448,18.63,37,47,4.0,ZA,1722730836
122,kailua-kona,19.6406,-155.9956,30.15,75,0,6.69,US,1722730837
123,kodiak,57.79,-152.4072,13.73,77,100,6.69,US,1722730838
124,kapa'a,22.0752,-159.319,28.18,70,40,4.63,US,1722730840
125,college,64.8569,-147.8028,14.99,84,100,2.06,US,1722730841
126,santo antonio do ica,-3.1022,-67.9397,24.83,85,52,1.23,BR,1722730842
127,paoua,7.2427,16.4406,20.75,94,100,1.43,CF,1722730843
128,papatowai,-46.5619,169.4708,9.56,56,68,3.22,NZ,1722730844
129,constantia,44.1833,28.65,21.5,61,61,6.5,RO,1722730845
130,singleton,-32.5667,151.1833,14.99,76,100,1.01,AU,1722730847
131,dzhangala,49.2167,50.3333,22.16,38,2,3.26,KZ,1722730848
132,lerwick,60.1545,-1.1494,11.0,87,4,3.41,GB,1722730849
133,torghay,49.6339,63.4981,23.79,35,98,2.68,KZ,1722730851
134,kamaishi,39.2667,141.8833,28.39,71,1,2.07,JP,1722730852
135,ushuaia,-54.8,-68.3,-1.19,64,100,4.63,AR,1722730853
136,maragogi,-9.0122,-35.2225,22.67,89,60,4.77,BR,1722730854
137,atafu village,-8.5421,-172.5159,28.06,77,45,6.32,TK,1722730855
138,ad dawadimi,24.5077,44.3924,28.64,20,100,3.56,SA,1722730856
139,touggourt,33.1053,6.058,35.06,29,0,5.14,DZ,1722730858
140,prince edward,44.0001,-77.2495,25.9,91,100,0.89,CA,1722730859
141,aykhal,66.0,111.5,16.56,55,82,2.1,RU,1722730860
142,yellowknife,62.456,-114.3525,21.34,48,75,3.09,CA,1722730861
143,adam,22.3756,57.5233,32.11,44,97,2.23,OM,1722730862
144,hamilton,39.1834,-84.5333,28.47,71,20,4.63,US,1722730864
145,island harbour,50.724,-1.2758,14.96,79,90,0.89,GB,1722730865
146,kismayo,-0.3582,42.5454,24.33,80,72,6.74,SO,1722730866
147,talara,-4.5772,-81.2719,17.71,87,22,5.95,PE,1722730867
148,belaya kholunitsa,58.84,50.8528,12.89,97,32,1.42,RU,1722730868
149,port lincoln,-34.7333,135.8667,12.08,71,100,4.18,AU,1722730869
150,bodaybo,57.8506,114.1933,16.23,90,100,1.0,RU,1722730871
151,ust-nera,64.5667,143.2,14.92,47,48,3.16,RU,1722730872
152,ocean city,39.2776,-74.5746,27.23,76,71,0.89,US,1722730873
153,port douglas,-16.4833,145.4667,22.85,71,41,7.37,AU,1722730874
154,severo-yeniseyskiy,60.3725,93.0408,14.19,68,5,0.88,RU,1722730875
155,lazaro cardenas,17.9583,-102.2,28.4,71,99,2.09,MX,1722730877
156,castillos,-34.1667,-53.8333,10.94,91,94,3.44,UY,1722730878
157,candido mendes,-1.4467,-45.7167,24.38,79,21,1.92,BR,1722730879
158,szombathely,47.2309,16.6216,19.0,99,27,2.38,HU,1722730880
159,qaqortoq,60.7167,-46.0333,7.52,78,47,1.4,GL,1722730881
160,fort st. john,56.2499,-120.8529,24.94,20,75,0.0,CA,1722730883
161,colonia,50.9333,6.95,19.47,84,40,2.57,DE,1722730884
162,mount pearl,47.5166,-52.7813,19.19,80,40,8.75,CA,1722730720
163,sabang,5.8933,95.3214,28.18,72,100,5.96,ID,1722730886
164,nemuro,43.3236,145.575,18.31,92,73,4.92,JP,1722730887
165,ocos,14.5094,-92.1933,28.1,79,93,3.45,GT,1722730889
166,san jose,37.3394,-121.895,34.6,37,20,5.66,US,1722730450
167,tazovsky,67.4667,78.7,12.35,81,100,4.82,RU,1722730891
168,pemangkat,1.1667,108.9667,25.87,85,59,2.4,ID,1722730892
169,kiruna,67.8557,20.2251,13.51,82,100,1.03,SE,1722730893
170,arraial do cabo,-22.9661,-42.0278,22.32,83,0,11.53,BR,1722730894
171,dali,25.7,100.1833,17.6,96,100,0.84,CN,1722730896
172,cuatro cienegas de carranza,26.9833,-102.0833,34.0,27,8,6.7,MX,1722730897
173,newman,37.3138,-121.0208,41.13,15,17,4.89,US,1722730898
174,cuamba,-14.8031,36.5372,16.28,48,78,0.78,MZ,1722730899
175,makurazaki,31.2667,130.3167,30.79,72,34,0.28,JP,1722730900
176,aberdeen,57.1437,-2.0981,10.86,93,3,1.03,GB,1722730902
177,sisimiut,66.9395,-53.6735,6.76,83,7,3.21,GL,1722730903
178,worthington,40.0931,-83.018,27.32,83,40,1.54,US,1722730904
179,sittwe,20.15,92.9,26.74,84,95,2.86,MM,1722730905
180,cooma,-36.2333,149.1333,8.8,61,77,0.97,AU,1722730906
181,as samawah,31.332,45.2944,33.21,18,0,4.75,IQ,1722730908
182,la passe,45.5549,-0.8967,17.13,85,39,2.92,FR,1722730909
183,beidao,34.5686,105.8933,21.23,75,2,0.16,CN,1722730910
184,dongsheng,39.8161,109.9776,22.54,61,0,6.39,CN,1722730911
185,new norfolk,-42.7826,147.0587,10.72,74,73,3.27,AU,1722730912
186,punta arenas,-53.15,-70.9167,2.06,75,100,5.14,CL,1722730913
187,kalundri,18.9833,73.1333,27.0,91,100,7.15,IN,1722730915
188,madang,-5.2246,145.7966,29.7,67,73,0.69,PG,1722730916
189,tarimoro,20.2833,-100.75,24.61,55,99,1.92,MX,1722730917
190,mount gambier,-37.8333,140.7667,9.13,72,100,2.17,AU,1722730918
191,nova sintra,14.8667,-24.7167,26.5,77,83,2.12,CV,1722730919
192,chabahar,25.2919,60.643,28.17,83,65,6.17,IR,1722730921
193,kesgrave,52.0624,1.2365,15.06,55,62,2.93,GB,1722730922
194,suwayr,30.1171,40.3893,28.52,29,10,4.36,SA,1722730923
